Domain,ID,Source
L1,AQP4,"Page 430, Fig. 4a"
L1,FABP7,"Page 428, Fig. 3a"
L1,RELN,Extended Data Fig. 7a
L1,SNAP25,"Page 426, Fig. 1d"
L2,HPCAL1,"Page 430, Fig. 4c"
L2,ENC1,"Page 428, Fig. 3d"
L2,CUX2,Extended Data Fig. 6a
L2,NTNG2,Extended Data Fig. 6e
L3,FREM3,"Page 430, Fig. 4c"
L3,ADCYAP1,Extended Data Fig. 6b
L4,RORB,Extended Data Fig. 6c
L4,PVALB,"Page 428, Fig. 3b"
L5,TRABD2A,"Page 430, Fig. 4b"
L5,PCP4,"Page 426, Fig. 1f; Extended Data Fig. 1"
L5,CCK,"Page 428, Fig. 3c"
L5,BCL11B,Extended Data Fig. 7b
L6,KRT17,"Page 430, Fig. 4d"
L6,CCK,"Page 428, Fig. 3c"
L6,NTNG2,Extended Data Fig. 6e
WM,MOBP,"Page 426, Fig. 1e; Page 427, Fig. 2d"
WM,MBP,Extended Data Fig. 6f
